area,mean_intensity,perimeter,prep,dir_name,image_name
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1622.0,1.0,160.9827560572969,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2.0,1.0,0.0,TFIIB FL,data,good_condensates
4.0,1.0,3.414213562373095,TFIIB FL,data,good_condensates
1387.0,1.0,144.39696961967,TFIIB FL,data,good_condensates
1316.0,1.0,145.9827560572969,TFIIB FL,data,good_condensates
663.0,1.0,101.66904755831214,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2556.0,1.0,282.75840533340727,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
2615.0,1.0,198.92388155425118,TFIIB FL,data,good_condensates
5355.0,1.0,321.9655121145938,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
518.0,1.0,94.31980515339464,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1987.0,1.0,176.9177848998413,TFIIB FL,data,good_condensates
1708.0,1.0,162.39696961967,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
5.0,1.0,5.414213562373095,TFIIB FL,data,good_condensates
716.0,1.0,103.70458146424488,TFIIB FL,data,good_condensates
837.0,1.0,117.0477272147525,TFIIB FL,data,good_condensates
32.0,1.0,21.071067811865476,TFIIB FL,data,good_condensates
136.0,1.0,48.384776310850235,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1105.0,1.0,133.3259018078045,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
3.0,1.0,3.414213562373095,TFIIB FL,data,good_condensates
5.0,1.0,4.207106781186548,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1432.0,1.0,220.15432893255073,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
291.0,1.0,70.04163056034261,TFIIB FL,data,good_condensates
10.0,1.0,8.828427124746192,TFIIB FL,data,good_condensates
1364.0,1.0,144.9827560572969,TFIIB FL,data,good_condensates
3.0,1.0,3.414213562373095,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
10888.0,1.0,588.8183258569795,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
329.0,1.0,72.52691193458118,TFIIB FL,data,good_condensates
6472.0,1.0,358.97160876900364,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1688.0,1.0,157.46803743153546,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1063.0,1.0,132.25483399593904,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
93.0,1.0,40.17766952966369,TFIIB FL,data,good_condensates
1942.0,1.0,173.95331880577402,TFIIB FL,data,good_condensates
264.0,1.0,68.87005768508881,TFIIB FL,data,good_condensates
1228.0,1.0,134.3259018078045,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
544.0,1.0,94.5269119345812,TFIIB FL,data,good_condensates
2510.0,1.0,222.1959594928933,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
661.0,1.0,104.84062043356595,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
1.0,1.0,0.0,TFIIB FL,data,good_condensates
469.0,1.0,89.2193000900063,TFIIB FL,data,good_condensates
3.0,1.0,1.0,TFIIB FL,data,good_condensates
3783.0,1.0,249.58073580374355,TFIIB FL,data,good_condensates
